"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-10-21","59","81","38"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-10-22","61","83","40"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-10-23","64","83","44"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-10-24","66","86","50"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-10-25","65","89","50"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-10-26","65","89","50"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-10-27","66","87","52"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-10-28","66","86","52"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-10-29","63","79","51"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-10-30","69","83","51"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-10-31","68","84","55"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-01","67","84","54"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-02","69","84","54"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-03","67","84","56"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-04","68","81","56"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-05","74",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-06","69","86","60"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-07","72","78","60"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-08","74",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-09","74","79","68"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-10","70","79","66"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-11","68","80","63"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-12","65","80","55"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-13","67","80","55"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-14","65","73","60"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-15","57","73","44"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-16","54","73","40"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-17","54",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-20","73",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-22","44","65","33"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-23","45","65","33"
